epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.911,1.20063,1.92768,1.32004,0.77971,0.73263,0.79948,0.46081,1.32338,1.48208,1.50517,0.000553946,0.000553946,0.000553946
2,291.5,1.29964,1.39855,1.39756,0.74453,0.6506,0.7394,0.4472,1.33782,1.26944,1.49649,0.00108764,0.00108764,0.00108764
3,413.612,1.30631,1.25013,1.39776,0.79212,0.69166,0.81325,0.49391,1.30085,1.21175,1.4734,0.00159933,0.00159933,0.00159933
4,534.805,1.26933,1.13864,1.37383,0.8419,0.79541,0.87917,0.55619,1.21523,0.97236,1.44166,0.00156798,0.00156798,0.00156798
5,656.796,1.25072,1.07438,1.36131,0.83338,0.8017,0.86838,0.54797,1.2259,1.0092,1.42303,0.00153497,0.00153497,0.00153497
6,777.271,1.20487,0.99069,1.3353,0.92069,0.8708,0.9368,0.61469,1.16623,0.76796,1.31962,0.00150197,0.00150197,0.00150197
7,899.159,1.17861,0.94409,1.31485,0.89139,0.85958,0.92523,0.63289,1.10205,0.78607,1.29141,0.00146896,0.00146896,0.00146896
8,1020.47,1.15395,0.90912,1.29351,0.90996,0.8853,0.94341,0.65416,1.08646,0.70095,1.28735,0.00143595,0.00143595,0.00143595
9,1140.46,1.13663,0.87775,1.28419,0.91606,0.8739,0.94059,0.64345,1.11563,0.7057,1.30244,0.00140295,0.00140295,0.00140295
10,1262.66,1.12301,0.85612,1.26722,0.92169,0.8652,0.94467,0.64067,1.11985,0.67739,1.31471,0.00136994,0.00136994,0.00136994
11,1382.88,1.09867,0.82372,1.26002,0.92665,0.88101,0.94141,0.66944,1.05907,0.67304,1.26113,0.00133693,0.00133693,0.00133693
12,1504.84,1.08969,0.80218,1.24975,0.93417,0.90841,0.9642,0.68853,1.02691,0.60737,1.25158,0.00130393,0.00130393,0.00130393
13,1625.67,1.07865,0.78102,1.24717,0.96256,0.91231,0.96692,0.69749,1.02312,0.58662,1.21927,0.00127092,0.00127092,0.00127092
14,1747.91,1.05002,0.75419,1.21747,0.96416,0.93083,0.97846,0.71567,0.97519,0.55085,1.19052,0.00123791,0.00123791,0.00123791
15,1869.63,1.04895,0.75443,1.22116,0.94785,0.93383,0.97495,0.71269,1.00025,0.5537,1.21961,0.00120491,0.00120491,0.00120491
16,1990.95,1.04333,0.74896,1.21692,0.96076,0.93244,0.97319,0.71623,0.97682,0.54383,1.20261,0.0011719,0.0011719,0.0011719
17,2113.53,1.036,0.72929,1.21073,0.95808,0.93181,0.9733,0.71631,0.95304,0.53381,1.18869,0.00113889,0.00113889,0.00113889
